main_genre,specific_genre
rock,avant-rock
metal,dub metal
metal,drone metal
rock,rock in opposition
jazz,mandible
electronica,indie electronica
jazz,glitch
electronica,electroacoustic improvisation
rock,dunedin indie
jazz,japanese idm
jazz,cumbia
jazz,j-ambient
electronica,dub techno
pop,cancion melodica
jazz,abstract
metal,technical melodic death metal
pop,cantopop
jazz,nu-cumbia
jazz,neotango
pop,russian pop
hip hop,russian hip hop
jazz,nerdcore
jazz,italo house
jazz,classical saxophone
metal,technical brutal death metal
metal,progressive technical death metal
pop,australian indigenous
jazz,arabic jazz
jazz,bass music
jazz,experimental jazz
jazz,latin soundtrack
electronica,detroit techno
jazz,sambass
jazz,audiophile vocal
electronica,techno
jazz,j-pixie
jazz,danish modern jazz
electronica,russian edm
reggae,traditional reggae
jazz,mallet
punk,french punk
punk,dark post-punk
pop,mod revival
rock,chill guitar
folk,kentucky mountain folk
rock,kent indie
folk,folkmusik
pop,grunge pop
punk,synth punk
punk,gothic post-punk
rock,nwothm
jazz,norwegian contemporary jazz
pop,vintage swedish pop
pop,visor
pop,k-pop reality show
rock,classic psychedelic rock
pop,classic colombian pop
blues,deep delta blues
rock,canadian psychedelic
rock,dutch rock
rock,wyoming indie
rock,deathrock
metal,german heavy metal
pop,modern salsa
pop,glitchbreak
pop,bachata dominicana
rock,slamming deathcore
metal,russian metalcore
metal,russian metal
rock,alabama indie
pop,neoclassical darkwave
rock,swedish melodic rock
blues,blues band
pop,collage pop
pop,taiwan singer-songwriter
pop,classic mandopop
metal,swedish doom metal
rock,epic doom
rock,melodic hard rock
pop,zhongguo feng
pop,dansktop
rock,dutch prog
rock,canadian indigenous
rock,new hampshire indie
pop,american shoegaze
jazz,classic soundtrack
jazz,french soundtrack
reggae,psychill
electronica,nz electronic
pop,latin talent show
religious,reggaeton cristiano
religious,rap cristiano
reggae,latin worship
jazz,cuban rumba
reggae,ragga jungle
pop,classic polish pop
pop,classic italian pop
pop,classic venezuelan pop
jazz,classic japanese jazz
folk,french folk pop
pop,dreamgaze
reggae,vintage reggae
punk,minneapolis punk
rock,western mass indie
rock,canberra indie
rock,triangle indie
rock,lafayette indie
pop,american oi
reggae,trinidadian reggae
religious,reggae cristao
rock,argentine indie
pop,uk dancehall
r&b,wassoulou
rock,dutch indie
hip hop,rap chileno
rock,knoxville indie
rock,puerto rican rock
pop,british dance band
reggae,indonesian reggae
hip hop,sacramento hip hop
jazz,meditation
reggae,reggae mexicano
jazz,italian jazz fusion
hip hop,rave
